"age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","extroversion","neuroticism","agreeableness","conscientiousness","openness"
31,"Female","NO",3,5,5,1,2,2,3,4,3,3,2,2,3,5,5,0.87,0.33,0.67,0.47,0.87
17,"Male","US",1,1,1,4,5,3,5,5,4,1,5,1,5,4,5,0.2,0.8,0.93,0.47,0.93
26,"Female","GB",2,3,3,3,3,3,4,5,4,3,4,4,2,4,2,0.53,0.6,0.87,0.73,0.53
34,"Male","BE",4,3,4,5,5,4,5,5,5,4,5,4,5,5,5,0.73,0.93,1,0.87,1
21,"Female","ZA",1,5,5,1,3,1,5,3,3,5,5,5,4,5,4,0.73,0.33,0.73,1,0.87
26,"Female","US",5,5,3,1,1,1,5,2,4,4,4,4,4,5,4,0.87,0.2,0.73,0.8,0.87
22,"Female","NO",2,3,4,1,2,1,3,3,5,5,4,2,4,3,3,0.6,0.27,0.73,0.73,0.67
19,"Female","NO",1,2,2,5,5,4,4,5,3,2,4,2,4,3,3,0.33,0.93,0.8,0.53,0.67
19,"Male","FI",4,2,2,2,2,3,4,4,3,3,3,2,4,4,3,0.53,0.47,0.73,0.53,0.73
21,"Female","US",4,5,5,3,3,4,5,5,4,3,4,3,5,5,5,0.93,0.67,0.93,0.67,1
49,"Male","BE",3,5,4,3,3,1,5,4,5,4,5,5,4,4,5,0.8,0.47,0.93,0.93,0.87
18,"Female","US",3,4,5,4,4,3,5,5,5,4,5,4,5,5,5,0.8,0.73,1,0.87,1
32,"Female","US",1,2,1,4,4,4,3,4,3,4,3,4,3,4,2,0.27,0.8,0.67,0.73,0.6
60,"Female","US",1,5,5,4,4,4,5,5,5,2,5,5,5,5,5,0.73,0.8,1,0.8,1
22,"Female","IE",1,2,3,5,5,5,4,4,5,2,4,2,5,5,3,0.4,1,0.87,0.53,0.87
24,"Male","PL",1,1,2,2,2,2,2,1,3,4,4,4,3,5,4,0.27,0.4,0.4,0.8,0.8
16,"Female","BR",2,3,3,3,4,2,5,5,3,3,3,4,4,4,5,0.53,0.6,0.87,0.67,0.87
20,"Male","SK",2,2,3,4,4,3,3,2,3,3,3,2,4,4,4,0.47,0.73,0.53,0.53,0.8
47,"Female","US",3,3,3,2,3,2,4,4,4,2,3,3,4,4,4,0.6,0.47,0.8,0.53,0.8
15,"Female","US",2,2,3,5,4,2,3,3,3,4,4,4,3,5,3,0.47,0.73,0.6,0.8,0.73
17,"Female","US",1,3,3,4,5,3,2,2,3,3,4,1,3,3,1,0.47,0.8,0.47,0.53,0.47
13,"Female","US",5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,0.2,1,1,1
16,"Female","HR",4,1,2,5,5,2,5,2,3,5,2,4,5,5,3,0.47,0.8,0.67,0.73,0.87
23,"Female","SA",1,2,4,3,2,2,3,2,4,4,2,1,3,3,3,0.47,0.47,0.6,0.47,0.6
30,"Female","US",5,5,5,3,3,1,5,5,5,4,3,3,4,4,5,1,0.47,1,0.67,0.87
17,"Female","US",3,4,5,4,5,2,5,4,4,1,4,4,5,4,5,0.8,0.73,0.87,0.6,0.93
20,"Female","US",2,3,3,4,4,3,4,4,4,4,3,4,4,3,3,0.53,0.73,0.8,0.73,0.67
25,"Male","US",2,2,4,4,5,4,4,4,2,4,4,4,5,4,4,0.53,0.87,0.67,0.8,0.87
27,"Male","BR",4,4,4,4,3,3,3,2,4,4,4,2,5,4,5,0.8,0.67,0.6,0.67,0.93
25,"Female","US",1,2,2,4,4,2,4,4,3,5,5,5,4,4,3,0.33,0.67,0.73,1,0.73
21,"Female","US",3,3,4,4,4,3,5,5,3,4,4,4,4,4,2,0.67,0.73,0.87,0.8,0.67
59,"Male","IE",1,4,4,1,2,2,4,4,3,3,2,4,5,3,5,0.6,0.33,0.73,0.6,0.87
30,"Female","US",4,5,4,2,2,2,5,4,4,4,5,3,5,5,5,0.87,0.4,0.87,0.8,1
37,"Female","US",5,5,5,1,3,5,3,2,5,1,1,3,1,5,5,1,0.6,0.67,0.33,0.73
27,"Female","NZ",2,3,3,5,5,3,4,4,4,3,3,3,4,3,4,0.53,0.87,0.8,0.6,0.73
41,"Female","US",2,3,2,4,4,4,4,4,3,5,5,5,3,4,3,0.47,0.8,0.73,1,0.67
18,"Male","GB",4,5,3,3,3,1,3,2,5,3,4,2,5,4,5,0.8,0.47,0.67,0.6,0.93
21,"Female","US",3,3,4,5,5,4,4,5,4,2,4,2,4,3,4,0.67,0.93,0.87,0.53,0.73
15,"Female","US",5,5,3,3,5,1,3,5,5,4,5,5,4,5,4,0.87,0.6,0.87,0.93,0.87
18,"Female","BR",2,1,4,5,4,4,2,3,3,3,4,3,5,4,5,0.47,0.87,0.53,0.67,0.93
20,"Male","GB",4,5,5,1,4,1,5,5,4,3,4,2,4,4,4,0.93,0.4,0.93,0.6,0.8
35,"Male","US",5,5,5,1,5,1,5,5,5,4,4,5,5,5,5,1,0.47,1,0.87,1
24,"Female","GB",2,2,3,4,4,3,3,3,2,1,3,1,4,3,3,0.47,0.73,0.53,0.33,0.67
33,"Female","US",5,4,5,5,4,4,5,5,2,1,3,4,3,4,4,0.93,0.87,0.8,0.53,0.73
20,"Female","PH",3,2,2,3,4,2,3,3,2,3,4,4,4,3,3,0.47,0.6,0.53,0.73,0.67
59,"Female","US",1,4,4,2,1,2,4,4,4,4,4,2,3,4,3,0.6,0.33,0.8,0.67,0.67
19,"Female","CA",5,5,5,4,5,2,3,3,4,2,4,3,5,3,4,1,0.73,0.67,0.6,0.8
26,"Male","BR",2,2,2,3,4,4,3,3,2,4,4,4,5,4,5,0.4,0.73,0.53,0.8,0.93
24,"Female","CA",3,4,4,3,3,2,3,5,5,5,5,5,5,5,4,0.73,0.53,0.87,1,0.93
31,"Female","US",5,5,5,4,4,4,5,5,5,3,3,3,5,5,5,1,0.8,1,0.6,1
30,"Female","US",1,3,3,4,5,2,5,5,5,2,3,1,5,4,5,0.47,0.73,1,0.4,0.93
18,"Female","US",1,2,2,4,5,4,3,2,2,4,5,3,4,3,3,0.33,0.87,0.47,0.8,0.67
24,"Female","US",3,4,3,4,5,3,4,4,5,5,5,5,5,4,4,0.67,0.8,0.87,1,0.87
13,"Female","US",4,5,4,2,3,2,5,5,4,4,5,4,5,5,5,0.87,0.47,0.93,0.87,1
19,"Female","US",3,5,5,3,3,1,5,5,4,3,2,2,3,4,4,0.87,0.47,0.93,0.47,0.73
20,"Female","US",2,2,2,5,5,3,2,2,4,4,4,2,4,4,4,0.4,0.87,0.53,0.67,0.8
13,"Female","US",3,4,4,2,5,4,4,5,2,4,4,4,4,4,4,0.73,0.73,0.73,0.8,0.8
16,"Female","US",4,3,5,4,2,3,2,3,3,1,2,1,4,3,5,0.8,0.6,0.53,0.27,0.8
17,"Female","AU",1,5,5,1,4,3,5,5,5,2,5,1,5,5,1,0.73,0.53,1,0.53,0.73
27,"Female","US",3,5,5,3,2,3,5,4,4,2,2,3,4,4,3,0.87,0.53,0.87,0.47,0.73
20,"Female","US",1,4,4,4,4,2,4,4,4,2,3,4,5,4,4,0.6,0.67,0.8,0.6,0.87
44,"Female","JP",2,3,4,4,2,4,4,5,4,2,2,4,3,4,3,0.6,0.67,0.87,0.53,0.67
21,"Female","CA",4,4,4,4,4,4,4,4,4,3,2,2,3,3,2,0.8,0.8,0.8,0.47,0.53
21,"Female","CA",3,4,5,3,4,4,5,4,4,5,4,4,3,5,4,0.8,0.73,0.87,0.87,0.8
23,"Male","IN",2,4,3,3,4,2,5,3,4,4,2,4,2,4,4,0.6,0.6,0.8,0.67,0.67
24,"Female","US",1,1,3,5,5,5,2,4,5,4,5,4,5,4,5,0.33,1,0.73,0.87,0.93
39,"Male","CA",2,2,4,2,4,2,4,4,4,3,2,3,4,4,4,0.53,0.53,0.8,0.53,0.8
45,"Female","US",1,2,2,4,4,3,5,4,2,4,5,3,3,5,4,0.33,0.73,0.73,0.8,0.8
45,"Female","US",3,5,5,3,3,3,5,5,4,3,3,1,3,4,3,0.87,0.6,0.93,0.47,0.67
20,"Male","US",3,5,5,2,4,1,5,5,5,3,5,4,5,4,5,0.87,0.47,1,0.8,0.93
21,"Female","US",2,2,3,5,5,4,3,4,3,3,4,5,5,3,4,0.47,0.93,0.67,0.8,0.8
23,"Female","ID",2,3,2,3,3,2,4,4,4,5,4,5,5,4,4,0.47,0.53,0.8,0.93,0.87
23,"Female","PH",2,5,4,4,5,4,5,5,5,5,4,5,5,5,5,0.73,0.87,1,0.93,1
22,"Female","US",1,3,1,5,5,5,2,5,3,1,4,1,5,3,4,0.33,1,0.67,0.4,0.8
16,"Female","US",4,5,5,4,4,4,5,4,5,3,4,4,4,5,5,0.93,0.8,0.93,0.73,0.93
20,"Male","AU",4,5,5,3,2,1,4,5,5,2,2,1,5,4,5,0.93,0.4,0.93,0.33,0.93
33,"Female","IN",2,4,4,1,2,2,4,5,5,4,4,4,2,4,4,0.67,0.33,0.93,0.8,0.67
17,"Female","AU",4,3,4,4,4,2,5,4,4,2,5,2,5,2,4,0.73,0.67,0.87,0.6,0.73
17,"Unanswered","CA",1,3,2,3,4,3,4,3,3,3,4,4,5,4,5,0.4,0.67,0.67,0.73,0.93
20,"Female","US",2,4,4,5,5,5,5,5,4,4,4,4,4,4,4,0.67,1,0.93,0.8,0.8
59,"Female","US",1,3,1,1,1,1,4,3,4,1,2,1,5,3,4,0.33,0.2,0.73,0.27,0.8
25,"Male","CA",5,4,5,1,3,2,5,5,5,4,4,5,5,5,5,0.93,0.4,1,0.87,1
18,"Female","AU",1,1,1,5,5,3,2,2,3,4,4,3,5,3,5,0.2,0.87,0.47,0.73,0.87
27,"Male","US",1,3,3,3,5,4,5,4,5,3,4,3,4,5,4,0.47,0.8,0.93,0.67,0.87
24,"Female","CA",3,2,1,3,4,3,4,4,3,2,4,3,3,3,3,0.4,0.67,0.73,0.6,0.6
29,"Male","US",5,5,5,1,5,1,5,4,5,5,5,1,5,5,5,1,0.47,0.93,0.73,1
16,"Female","US",2,3,3,1,2,1,3,2,5,5,4,4,4,3,4,0.53,0.27,0.67,0.87,0.73
29,"Male","US",2,3,4,2,4,2,4,5,3,3,4,4,4,4,4,0.6,0.53,0.8,0.73,0.8
33,"Female","US",2,2,5,5,5,5,3,4,3,3,2,1,5,1,5,0.6,1,0.67,0.4,0.73
21,"Male","IN",4,4,2,3,4,2,4,4,2,3,4,3,4,5,4,0.67,0.6,0.67,0.67,0.87
26,"Male","US",3,4,4,4,4,3,4,4,4,4,4,3,5,4,4,0.73,0.73,0.8,0.73,0.87
21,"Male","IN",1,2,3,2,3,4,4,4,3,2,4,2,4,4,5,0.4,0.6,0.73,0.53,0.87
26,"Female","IN",3,5,4,3,2,3,2,4,5,3,4,4,5,5,5,0.8,0.53,0.73,0.73,1
14,"Male","US",3,3,5,4,5,2,3,1,2,4,2,1,5,5,5,0.73,0.73,0.4,0.47,1
13,"Male","US",1,3,3,5,5,5,3,2,3,4,4,3,5,4,4,0.47,1,0.53,0.73,0.87
30,"Male","SE",4,5,5,1,1,1,5,5,5,5,5,1,5,5,5,0.93,0.2,1,0.73,1
27,"Male","US",3,2,4,5,5,4,4,4,4,2,4,3,4,5,4,0.6,0.93,0.8,0.6,0.87
17,"Male","US",2,2,3,5,5,4,4,4,1,2,4,3,5,5,5,0.47,0.93,0.6,0.6,1
17,"Female","US",5,5,5,3,3,3,4,3,3,3,3,2,3,5,3,1,0.6,0.67,0.53,0.73
19,"Female","AU",3,4,3,1,2,3,4,4,3,3,4,2,2,4,3,0.67,0.4,0.73,0.6,0.6
18,"Male","US",1,4,1,3,3,1,3,1,2,2,5,3,3,5,5,0.4,0.47,0.4,0.67,0.87
23,"Female","MY",1,2,4,5,2,3,3,4,3,3,3,5,4,3,2,0.47,0.67,0.67,0.73,0.6
20,"Female","IN",5,5,1,5,1,1,5,5,5,1,5,4,5,4,4,0.73,0.47,1,0.67,0.87
19,"Female","MY",4,3,3,4,4,5,4,4,5,3,3,3,4,5,4,0.67,0.87,0.87,0.6,0.87
23,"Male","IN",4,4,4,1,3,2,4,5,4,3,4,4,4,4,4,0.8,0.4,0.87,0.73,0.8
14,"Male","US",1,3,1,2,3,3,2,1,3,3,5,3,5,4,5,0.33,0.53,0.4,0.73,0.93
18,"Male","IN",1,4,1,3,5,3,4,4,3,2,5,1,4,2,5,0.4,0.73,0.73,0.53,0.73
18,"Female","US",4,5,5,1,1,1,5,4,5,2,2,1,5,3,3,0.93,0.2,0.93,0.33,0.73
16,"Male","KW",2,3,1,4,5,4,3,2,4,2,4,1,4,3,4,0.4,0.87,0.6,0.47,0.73
23,"Female","OM",3,4,3,2,4,4,4,4,5,5,5,5,4,3,3,0.67,0.67,0.87,1,0.67
22,"Female","IN",5,5,5,3,3,3,5,5,4,5,5,5,3,5,3,1,0.6,0.93,1,0.73
19,"Male","US",1,2,2,2,2,2,4,4,4,3,3,3,5,3,5,0.33,0.4,0.8,0.6,0.87
21,"Male","US",3,3,3,3,5,4,4,4,3,4,5,2,4,4,5,0.6,0.8,0.73,0.73,0.87
19,"Male","MY",1,1,1,5,5,5,1,3,3,3,3,2,5,3,1,0.2,1,0.47,0.53,0.6
14,"Male","AU",1,5,3,3,5,5,5,5,4,1,3,3,4,3,4,0.6,0.87,0.93,0.47,0.73
39,"Female","AU",5,5,5,5,5,3,5,5,5,3,4,3,5,5,5,1,0.87,1,0.67,1
26,"Male","DK",1,2,1,1,5,1,3,5,1,3,5,3,5,1,3,0.27,0.47,0.6,0.73,0.6
48,"Male","GB",1,5,4,1,3,2,5,4,4,4,4,4,5,5,5,0.67,0.4,0.87,0.8,1
33,"Female","NZ",1,2,4,3,4,4,3,2,2,3,4,4,3,4,3,0.47,0.73,0.47,0.73,0.67
20,"Male","ID",2,2,3,1,4,3,3,2,4,5,3,3,4,3,3,0.47,0.53,0.6,0.73,0.67
22,"Female","DK",4,5,4,3,4,2,5,5,5,4,4,5,3,4,4,0.87,0.6,1,0.87,0.73
21,"Male","TR",1,5,2,3,5,1,1,1,1,5,5,5,3,5,3,0.53,0.6,0.2,1,0.73
29,"Female","GB",1,4,2,4,5,4,2,2,2,5,5,4,4,2,3,0.47,0.87,0.4,0.93,0.6
43,"Male","AU",3,4,4,4,4,4,4,4,4,3,3,2,4,4,4,0.73,0.8,0.8,0.53,0.8
13,"Female","SG",1,2,4,3,5,4,4,2,4,3,5,2,4,5,5,0.47,0.8,0.67,0.67,0.93
22,"Male","IN",2,2,5,1,4,5,3,5,4,3,3,3,2,4,4,0.6,0.67,0.8,0.6,0.67
23,"Female","GB",4,3,4,3,5,5,5,5,4,5,5,3,5,2,3,0.73,0.87,0.93,0.87,0.67
24,"Male","LT",3,3,3,1,4,3,4,5,2,3,5,5,4,3,1,0.6,0.53,0.73,0.87,0.53
39,"Male","GB",2,2,2,4,5,4,4,5,3,5,5,4,5,4,5,0.4,0.87,0.8,0.93,0.93
29,"Female","AU",4,3,5,4,5,1,5,5,4,4,5,3,5,4,5,0.8,0.67,0.93,0.8,0.93
39,"Male","IE",2,4,5,4,5,2,4,5,4,3,4,2,5,4,2,0.73,0.73,0.87,0.6,0.73
26,"Female","US",2,2,2,4,4,4,2,4,3,2,4,2,2,2,2,0.4,0.8,0.6,0.53,0.4
17,"Female","GB",4,3,4,5,5,5,5,4,4,3,5,1,5,5,5,0.73,1,0.87,0.6,1
18,"Female","AU",5,5,5,4,5,4,5,5,4,3,4,3,3,4,3,1,0.87,0.93,0.67,0.67
17,"Female","IL",3,4,4,3,3,3,4,2,4,5,2,1,4,4,5,0.73,0.6,0.67,0.53,0.87
26,"Female","IN",5,5,5,1,3,5,5,3,3,5,5,4,3,5,3,1,0.6,0.73,0.93,0.73
17,"Male","GB",2,3,2,4,5,3,5,5,3,3,4,3,5,2,5,0.47,0.8,0.87,0.67,0.8
16,"Female","GB",4,2,2,3,5,5,3,2,2,5,4,4,3,3,2,0.53,0.87,0.47,0.87,0.53
17,"Female","GB",2,4,3,5,5,3,4,5,4,5,4,4,5,4,3,0.6,0.87,0.87,0.87,0.8
35,"Male","PL",3,5,3,1,1,4,4,2,3,4,2,2,4,5,5,0.73,0.4,0.6,0.53,0.93
39,"Female","DE",1,2,2,4,4,3,4,4,4,4,4,4,2,4,3,0.33,0.73,0.8,0.8,0.6
18,"Female","GB",2,2,2,3,4,3,3,3,3,2,4,3,5,3,4,0.4,0.67,0.6,0.6,0.8
29,"Female","MY",2,2,2,3,3,4,3,4,3,4,2,4,2,4,3,0.4,0.67,0.67,0.67,0.6
15,"Female","ID",1,1,3,5,3,5,1,4,4,2,3,1,5,5,5,0.33,0.87,0.6,0.4,1
15,"Male","IN",1,1,1,5,5,5,2,5,1,1,5,1,5,5,5,0.2,1,0.53,0.47,1
16,"Male","AE",1,4,5,5,5,5,5,5,5,4,5,4,3,5,2,0.67,1,1,0.87,0.67
20,"Female","LT",3,4,3,3,5,3,5,5,5,2,5,2,5,5,5,0.67,0.73,1,0.6,1
19,"Male","PK",1,1,1,1,2,4,1,1,1,1,3,1,1,4,4,0.2,0.47,0.2,0.33,0.6
42,"Female","GB",3,3,4,4,5,5,4,5,4,2,4,2,5,5,3,0.67,0.93,0.87,0.53,0.87
19,"Male","MY",2,2,3,3,4,3,4,4,4,4,3,3,4,4,4,0.47,0.67,0.8,0.67,0.8
18,"Female","BT",1,1,5,5,5,4,4,3,1,5,4,4,4,4,3,0.47,0.93,0.53,0.87,0.73
17,"Male","ID",1,3,2,2,3,2,2,3,3,4,3,4,3,4,3,0.4,0.47,0.53,0.73,0.67
