title,release,role,names
Zelda II: The Adventure of Link,2003 - GameCube,Programmers,"Kazuaki Morita, Tatsuo Nishiyama, Shigehiro Kasamatsu, Yasunari Nishida, Toshihiko Nakago"
Zelda II: The Adventure of Link,2003 - GameCube,Writers,Takashi Tezuka
Zelda II: The Adventure of Link,2003 - GameCube,Composers,Akito Nakatsuka
Zelda II: The Adventure of Link,2004 - Game Boy Advance,Directors,"Tadashi Sugiyama, Yasuhisa Yamamura"
Zelda II: The Adventure of Link,2004 - Game Boy Advance,Producers,Shigeru Miyamoto
Zelda II: The Adventure of Link,2004 - Game Boy Advance,Designers,Kazunobu Shimizu
Zelda II: The Adventure of Link,2004 - Game Boy Advance,Programmers,"Kazuaki Morita, Tatsuo Nishiyama, Shigehiro Kasamatsu, Yasunari Nishida, Toshihiko Nakago"
Zelda II: The Adventure of Link,2004 - Game Boy Advance,Writers,Takashi Tezuka
Zelda II: The Adventure of Link,2004 - Game Boy Advance,Composers,Akito Nakatsuka
Zelda II: The Adventure of Link,2007 - Wii Virtual Console,Directors,"Tadashi Sugiyama, Yasuhisa Yamamura"
Zelda II: The Adventure of Link,2007 - Wii Virtual Console,Producers,Shigeru Miyamoto
Zelda II: The Adventure of Link,2007 - Wii Virtual Console,Designers,Kazunobu Shimizu
Zelda II: The Adventure of Link,2007 - Wii Virtual Console,Programmers,"Kazuaki Morita, Tatsuo Nishiyama, Shigehiro Kasamatsu, Yasunari Nishida, Toshihiko Nakago"
Zelda II: The Adventure of Link,2007 - Wii Virtual Console,Writers,Takashi Tezuka
Zelda II: The Adventure of Link,2007 - Wii Virtual Console,Composers,Akito Nakatsuka
Zelda II: The Adventure of Link,2012 - 3DS Virtual Console,Directors,"Tadashi Sugiyama, Yasuhisa Yamamura"
Zelda II: The Adventure of Link,2012 - 3DS Virtual Console,Producers,Shigeru Miyamoto
Zelda II: The Adventure of Link,2012 - 3DS Virtual Console,Designers,Kazunobu Shimizu
Zelda II: The Adventure of Link,2012 - 3DS Virtual Console,Programmers,"Kazuaki Morita, Tatsuo Nishiyama, Shigehiro Kasamatsu, Yasunari Nishida, Toshihiko Nakago"
Zelda II: The Adventure of Link,2012 - 3DS Virtual Console,Writers,Takashi Tezuka
Zelda II: The Adventure of Link,2012 - 3DS Virtual Console,Composers,Akito Nakatsuka
Zelda II: The Adventure of Link,2013 - Wii U Virtual Console,Directors,"Tadashi Sugiyama, Yasuhisa Yamamura"
Zelda II: The Adventure of Link,2013 - Wii U Virtual Console,Producers,Shigeru Miyamoto
Zelda II: The Adventure of Link,2013 - Wii U Virtual Console,Designers,Kazunobu Shimizu
Zelda II: The Adventure of Link,2013 - Wii U Virtual Console,Programmers,"Kazuaki Morita, Tatsuo Nishiyama, Shigehiro Kasamatsu, Yasunari Nishida, Toshihiko Nakago"
Zelda II: The Adventure of Link,2013 - Wii U Virtual Console,Writers,Takashi Tezuka
Zelda II: The Adventure of Link,2013 - Wii U Virtual Console,Composers,Akito Nakatsuka
Zelda II: The Adventure of Link,2019 - Switch Online NES Library,Directors,"Tadashi Sugiyama, Yasuhisa Yamamura"
Zelda II: The Adventure of Link,2019 - Switch Online NES Library,Producers,Shigeru Miyamoto
Zelda II: The Adventure of Link,2019 - Switch Online NES Library,Designers,Kazunobu Shimizu
Zelda II: The Adventure of Link,2019 - Switch Online NES Library,Programmers,"Kazuaki Morita, Tatsuo Nishiyama, Shigehiro Kasamatsu, Yasunari Nishida, Toshihiko Nakago"
Zelda II: The Adventure of Link,2019 - Switch Online NES Library,Writers,Takashi Tezuka
Zelda II: The Adventure of Link,2019 - Switch Online NES Library,Composers,Akito Nakatsuka
The Legend of Zelda: A Link to the Past,1991 - Super Nintendo Entertainment System,Directors,Takashi Tezuka
The Legend of Zelda: A Link to the Past,1991 - Super Nintendo Entertainment System,Producers,Shigeru Miyamoto
The Legend of Zelda: A Link to the Past,1991 - Super Nintendo Entertainment System,Programmers,"Yasunari Soejima, Toshihiko Nakago"
The Legend of Zelda: A Link to the Past,1991 - Super Nintendo Entertainment System,Artists,"Masanao Arimoto, Tsuyoshi Watanabe"
The Legend of Zelda: A Link to the Past,1991 - Super Nintendo Entertainment System,Writers,Kensuke Tanabe
The Legend of Zelda: A Link to the Past,1991 - Super Nintendo Entertainment System,Composers,Koji Kondo
The Legend of Zelda: A Link to the Past,1997 - Satellaview,Directors,Takashi Tezuka
The Legend of Zelda: A Link to the Past,1997 - Satellaview,Producers,Shigeru Miyamoto
The Legend of Zelda: A Link to the Past,1997 - Satellaview,Programmers,"Yasunari Soejima, Toshihiko Nakago"
The Legend of Zelda: A Link to the Past,1997 - Satellaview,Artists,"Masanao Arimoto, Tsuyoshi Watanabe"
The Legend of Zelda: A Link to the Past,1997 - Satellaview,Writers,Kensuke Tanabe
The Legend of Zelda: A Link to the Past,1997 - Satellaview,Composers,Koji Kondo
The Legend of Zelda: A Link to the Past,2002 - Game Boy Advance,Directors,Takashi Tezuka
The Legend of Zelda: A Link to the Past,2002 - Game Boy Advance,Producers,Shigeru Miyamoto
The Legend of Zelda: A Link to the Past,2002 - Game Boy Advance,Programmers,"Yasunari Soejima, Toshihiko Nakago"
The Legend of Zelda: A Link to the Past,2002 - Game Boy Advance,Artists,"Masanao Arimoto, Tsuyoshi Watanabe"
The Legend of Zelda: A Link to the Past,2002 - Game Boy Advance,Writers,Kensuke Tanabe
The Legend of Zelda: A Link to the Past,2002 - Game Boy Advance,Composers,Koji Kondo
The Legend of Zelda: A Link to the Past,2006 - Wii Virtual Console,Directors,Takashi Tezuka
The Legend of Zelda: A Link to the Past,2006 - Wii Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda: A Link to the Past,2006 - Wii Virtual Console,Programmers,"Yasunari Soejima, Toshihiko Nakago"
The Legend of Zelda: A Link to the Past,2006 - Wii Virtual Console,Artists,"Masanao Arimoto, Tsuyoshi Watanabe"
The Legend of Zelda: A Link to the Past,2006 - Wii Virtual Console,Writers,Kensuke Tanabe
The Legend of Zelda: A Link to the Past,2006 - Wii Virtual Console,Composers,Koji Kondo
The Legend of Zelda: A Link to the Past,2013 - Wii U Virtual Console,Directors,Takashi Tezuka
The Legend of Zelda: A Link to the Past,2013 - Wii U Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda: A Link to the Past,2013 - Wii U Virtual Console,Programmers,"Yasunari Soejima, Toshihiko Nakago"
The Legend of Zelda: A Link to the Past,2013 - Wii U Virtual Console,Artists,"Masanao Arimoto, Tsuyoshi Watanabe"
The Legend of Zelda: A Link to the Past,2013 - Wii U Virtual Console,Writers,Kensuke Tanabe
The Legend of Zelda: A Link to the Past,2013 - Wii U Virtual Console,Composers,Koji Kondo
The Legend of Zelda: A Link to the Past,2016 - 3DS Virtual Console,Directors,Takashi Tezuka
The Legend of Zelda: A Link to the Past,2016 - 3DS Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda: A Link to the Past,2016 - 3DS Virtual Console,Programmers,"Yasunari Soejima, Toshihiko Nakago"
The Legend of Zelda: A Link to the Past,2016 - 3DS Virtual Console,Artists,"Masanao Arimoto, Tsuyoshi Watanabe"
The Legend of Zelda: A Link to the Past,2016 - 3DS Virtual Console,Writers,Kensuke Tanabe
The Legend of Zelda: A Link to the Past,2016 - 3DS Virtual Console,Composers,Koji Kondo
The Legend of Zelda: A Link to the Past,2019 - Switch Online SNES Library,Directors,Takashi Tezuka
The Legend of Zelda: A Link to the Past,2019 - Switch Online SNES Library,Producers,Shigeru Miyamoto
The Legend of Zelda: A Link to the Past,2019 - Switch Online SNES Library,Programmers,"Yasunari Soejima, Toshihiko Nakago"
The Legend of Zelda: A Link to the Past,2019 - Switch Online SNES Library,Artists,"Masanao Arimoto, Tsuyoshi Watanabe"
The Legend of Zelda: A Link to the Past,2019 - Switch Online SNES Library,Writers,Kensuke Tanabe
The Legend of Zelda: A Link to the Past,2019 - Switch Online SNES Library,Composers,Koji Kondo
The Legend of Zelda: Link's Awakening,1993 - Game Boy,Directors,Takashi Tezuka
The Legend of Zelda: Link's Awakening,1993 - Game Boy,Producers,Shigeru Miyamoto
The Legend of Zelda: Link's Awakening,1993 - Game Boy,Designers,Yasuhisa Yamamura
The Legend of Zelda: Link's Awakening,1993 - Game Boy,Programmers,"Takamitsu Kuzuhara, Kazuaki Morita"
The Legend of Zelda: Link's Awakening,1993 - Game Boy,Artists,"Yoichi Kotabe, Masanao Arimoto, Shigefumi Hino"
The Legend of Zelda: Link's Awakening,1993 - Game Boy,Writers,"Yoshiaki Koizumi, Kensuke Tanabe"
The Legend of Zelda: Link's Awakening,1993 - Game Boy,Composers,"Kazuma Totaka, Minako Hamano, Kozue Ishikawa"
The Legend of Zelda: Link's Awakening,1998 - Game Boy Color,Directors,Takashi Tezuka
The Legend of Zelda: Link's Awakening,1998 - Game Boy Color,Producers,Shigeru Miyamoto
The Legend of Zelda: Link's Awakening,1998 - Game Boy Color,Designers,Yasuhisa Yamamura
The Legend of Zelda: Link's Awakening,1998 - Game Boy Color,Programmers,"Takamitsu Kuzuhara, Kazuaki Morita"
The Legend of Zelda: Link's Awakening,1998 - Game Boy Color,Artists,"Yoichi Kotabe, Masanao Arimoto, Shigefumi Hino"
The Legend of Zelda: Link's Awakening,1998 - Game Boy Color,Writers,"Yoshiaki Koizumi, Kensuke Tanabe"
The Legend of Zelda: Link's Awakening,1998 - Game Boy Color,Composers,"Kazuma Totaka, Minako Hamano, Kozue Ishikawa"
The Legend of Zelda: Link's Awakening,2011 - 3DS Virtual Console,Directors,Takashi Tezuka
The Legend of Zelda: Link's Awakening,2011 - 3DS Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda: Link's Awakening,2011 - 3DS Virtual Console,Designers,Yasuhisa Yamamura
The Legend of Zelda: Link's Awakening,2011 - 3DS Virtual Console,Programmers,"Takamitsu Kuzuhara, Kazuaki Morita"
The Legend of Zelda: Link's Awakening,2011 - 3DS Virtual Console,Artists,"Yoichi Kotabe, Masanao Arimoto, Shigefumi Hino"
The Legend of Zelda: Link's Awakening,2011 - 3DS Virtual Console,Writers,"Yoshiaki Koizumi, Kensuke Tanabe"
The Legend of Zelda: Link's Awakening,2011 - 3DS Virtual Console,Composers,"Kazuma Totaka, Minako Hamano, Kozue Ishikawa"
The Legend of Zelda: Link's Awakening,2019 - Switch,Directors,Takashi Tezuka
The Legend of Zelda: Link's Awakening,2019 - Switch,Producers,Shigeru Miyamoto
The Legend of Zelda: Link's Awakening,2019 - Switch,Designers,Yasuhisa Yamamura
The Legend of Zelda: Link's Awakening,2019 - Switch,Programmers,"Takamitsu Kuzuhara, Kazuaki Morita"
The Legend of Zelda: Link's Awakening,2019 - Switch,Artists,"Yoichi Kotabe, Masanao Arimoto, Shigefumi Hino"
The Legend of Zelda: Link's Awakening,2019 - Switch,Writers,"Yoshiaki Koizumi, Kensuke Tanabe"
The Legend of Zelda: Link's Awakening,2019 - Switch,Composers,"Kazuma Totaka, Minako Hamano, Kozue Ishikawa"
The Legend of Zelda: Link's Awakening,2023 - Switch Online GBC Library,Directors,Takashi Tezuka
The Legend of Zelda: Link's Awakening,2023 - Switch Online GBC Library,Producers,Shigeru Miyamoto
The Legend of Zelda: Link's Awakening,2023 - Switch Online GBC Library,Designers,Yasuhisa Yamamura
The Legend of Zelda: Link's Awakening,2023 - Switch Online GBC Library,Programmers,"Takamitsu Kuzuhara, Kazuaki Morita"
The Legend of Zelda: Link's Awakening,2023 - Switch Online GBC Library,Artists,"Yoichi Kotabe, Masanao Arimoto, Shigefumi Hino"
The Legend of Zelda: Link's Awakening,2023 - Switch Online GBC Library,Writers,"Yoshiaki Koizumi, Kensuke Tanabe"
The Legend of Zelda: Link's Awakening,2023 - Switch Online GBC Library,Composers,"Kazuma Totaka, Minako Hamano, Kozue Ishikawa"
The Legend of Zelda: Ocarina of Time,1998 - Nintendo 64,Directors,"Toru Osawa, Yoichi Yamada, Eiji Aonuma, Yoshiaki Koizumi, Toshio Iwawaki"
The Legend of Zelda: Ocarina of Time,1998 - Nintendo 64,Producers,Shigeru Miyamoto
The Legend of Zelda: Ocarina of Time,1998 - Nintendo 64,Programmers,Kenzo Hayakawa
The Legend of Zelda: Ocarina of Time,1998 - Nintendo 64,Artists,"Yoshiaki Koizumi, Yusuke Nakano"
The Legend of Zelda: Ocarina of Time,1998 - Nintendo 64,Writers,"Toru Osawa, Kensuke Tanabe"
The Legend of Zelda: Ocarina of Time,1998 - Nintendo 64,Composers,Koji Kondo
The Legend of Zelda: Ocarina of Time,2003 - GameCube,Directors,"Toru Osawa, Yoichi Yamada, Eiji Aonuma, Yoshiaki Koizumi, Toshio Iwawaki"
The Legend of Zelda: Ocarina of Time,2003 - GameCube,Producers,Shigeru Miyamoto
The Legend of Zelda: Ocarina of Time,2003 - GameCube,Programmers,Kenzo Hayakawa
The Legend of Zelda: Ocarina of Time,2003 - GameCube,Artists,"Yoshiaki Koizumi, Yusuke Nakano"
The Legend of Zelda: Ocarina of Time,2003 - GameCube,Writers,"Toru Osawa, Kensuke Tanabe"
The Legend of Zelda: Ocarina of Time,2003 - GameCube,Composers,Koji Kondo
The Legend of Zelda: Ocarina of Time,2003 - iQue Player,Directors,"Toru Osawa, Yoichi Yamada, Eiji Aonuma, Yoshiaki Koizumi, Toshio Iwawaki"
The Legend of Zelda: Ocarina of Time,2003 - iQue Player,Producers,Shigeru Miyamoto
The Legend of Zelda: Ocarina of Time,2003 - iQue Player,Programmers,Kenzo Hayakawa
The Legend of Zelda: Ocarina of Time,2003 - iQue Player,Artists,"Yoshiaki Koizumi, Yusuke Nakano"
The Legend of Zelda: Ocarina of Time,2003 - iQue Player,Writers,"Toru Osawa, Kensuke Tanabe"
The Legend of Zelda: Ocarina of Time,2003 - iQue Player,Composers,Koji Kondo
The Legend of Zelda: Ocarina of Time,2007 - Wii Virtual Console,Directors,"Toru Osawa, Yoichi Yamada, Eiji Aonuma, Yoshiaki Koizumi, Toshio Iwawaki"
The Legend of Zelda: Ocarina of Time,2007 - Wii Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda: Ocarina of Time,2007 - Wii Virtual Console,Programmers,Kenzo Hayakawa
The Legend of Zelda: Ocarina of Time,2007 - Wii Virtual Console,Artists,"Yoshiaki Koizumi, Yusuke Nakano"
The Legend of Zelda: Ocarina of Time,2007 - Wii Virtual Console,Writers,"Toru Osawa, Kensuke Tanabe"
The Legend of Zelda: Ocarina of Time,2007 - Wii Virtual Console,Composers,Koji Kondo
The Legend of Zelda: Ocarina of Time,2011 - 3DS,Directors,"Toru Osawa, Yoichi Yamada, Eiji Aonuma, Yoshiaki Koizumi, Toshio Iwawaki"
The Legend of Zelda: Ocarina of Time,2011 - 3DS,Producers,Shigeru Miyamoto
The Legend of Zelda: Ocarina of Time,2011 - 3DS,Programmers,Kenzo Hayakawa
The Legend of Zelda: Ocarina of Time,2011 - 3DS,Artists,"Yoshiaki Koizumi, Yusuke Nakano"
The Legend of Zelda: Ocarina of Time,2011 - 3DS,Writers,"Toru Osawa, Kensuke Tanabe"
The Legend of Zelda: Ocarina of Time,2011 - 3DS,Composers,Koji Kondo
The Legend of Zelda: Ocarina of Time,2015 - Wii U Virtual Console,Directors,"Toru Osawa, Yoichi Yamada, Eiji Aonuma, Yoshiaki Koizumi, Toshio Iwawaki"
The Legend of Zelda: Ocarina of Time,2015 - Wii U Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda: Ocarina of Time,2015 - Wii U Virtual Console,Programmers,Kenzo Hayakawa
The Legend of Zelda: Ocarina of Time,2015 - Wii U Virtual Console,Artists,"Yoshiaki Koizumi, Yusuke Nakano"
The Legend of Zelda: Ocarina of Time,2015 - Wii U Virtual Console,Writers,"Toru Osawa, Kensuke Tanabe"
The Legend of Zelda: Ocarina of Time,2015 - Wii U Virtual Console,Composers,Koji Kondo
The Legend of Zelda: Ocarina of Time,2021 - Switch Online N64 Library,Directors,"Toru Osawa, Yoichi Yamada, Eiji Aonuma, Yoshiaki Koizumi, Toshio Iwawaki"
The Legend of Zelda: Ocarina of Time,2021 - Switch Online N64 Library,Producers,Shigeru Miyamoto
The Legend of Zelda: Ocarina of Time,2021 - Switch Online N64 Library,Programmers,Kenzo Hayakawa
The Legend of Zelda: Ocarina of Time,2021 - Switch Online N64 Library,Artists,"Yoshiaki Koizumi, Yusuke Nakano"
The Legend of Zelda: Ocarina of Time,2021 - Switch Online N64 Library,Writers,"Toru Osawa, Kensuke Tanabe"
The Legend of Zelda: Ocarina of Time,2021 - Switch Online N64 Library,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2000 - Nintendo 64,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2003 - GameCube,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2003 - GameCube,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2003 - GameCube,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2003 - GameCube,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2003 - GameCube,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2003 - GameCube,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2009 - Wii Virtual Console,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2015 - 3DS,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2015 - 3DS,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2015 - 3DS,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2015 - 3DS,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2015 - 3DS,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2015 - 3DS,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2016 - Wii U Virtual Console,Composers,Koji Kondo
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Directors,"Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Producers,Shigeru Miyamoto
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Programmers,"Toshio Iwawaki, Toshihiko Nakago"
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Artists,"Yusuke Nakano, Takaya Imamura"
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Writers,"Mitsuhiro Takano, Eiji Aonuma, Yoshiaki Koizumi"
The Legend of Zelda: Majora's Mask,2022 - Switch Online N64 Library,Composers,Koji Kondo
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Producers,Noritaka Funamizu
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Designers,"Hidemaro Fujibayashi, Yoichiro Ikeda, Su Chol Lee"
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Artists,Yusuke Nakano
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Writers,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Seasons,2001 - Game Boy Color,Composers,"Minako Adachi, Kiyohiro Sada"
The Legend of Zelda: Oracle of Seasons,2013 - 3DS Virtual Console,Directors,Hidemaro Fujibayashi
The Legend of Zelda: Oracle of Seasons,2013 - 3DS Virtual Console,Producers,Noritaka Funamizu
The Legend of Zelda: Oracle of Seasons,2013 - 3DS Virtual Console,Designers,"Hidemaro Fujibayashi, Yoichiro Ikeda, Su Chol Lee"
The Legend of Zelda: Oracle of Seasons,2013 - 3DS Virtual Console,Artists,Yusuke Nakano
